CSS品質チェック ベースラインレポート
============================================================
エラー: 0 件 / 警告: 122 件

[WARNING] css/pages/abac-principaltag-resourcetag-guide.css:365 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/abac-principaltag-resourcetag-guide.css:819 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/acm-alb-ec2-tls-guide.css:405 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/acm-alb-ec2-tls-guide.css:821 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/acm-san-infographic.css:21 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/acm-san-infographic.css:29 [no-global-tag-selector] グローバルタグセレクタ `h2 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/alb-security-policy-guide.css:377 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/alb-target-group-guide.css:669 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/alb-target-group-guide.css:821 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/alb-tls-security-policy-guide.css:350 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/alb-tls-security-policy-guide.css:656 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/amazon-inspector-agentless-guide.css:632 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/amazon-q-business-access-guardrails-guide.css:435 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/amazon-q-business-access-guardrails-guide.css:716 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/autoscaling-instance-refresh-guide.css:692 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
